;;;Celular
55;15;991063131;5515991063131
55;15;991141011;5515991141011
55;15;991353398;5515991353398
55;15;991716069;5515991716069
55;15;996022569;5515996022569
55;15;996044339;5515996044339
55;15;996063561;5515996063561
55;15;996070179;5515996070179
55;15;996078924;5515996078924
55;15;996310048;5515996310048
55;15;996312184;5515996312184
55;15;996338143;5515996338143
55;15;996405226;5515996405226
55;14;996428382;5514996428382
55;15;996430154;5515996430154
55;15;996430154;5515996430154
55;15;996495835;5515996495835
55;15;996509151;5515996509151
55;15;996528649;5515996528649
55;15;996565742;5515996565742
55;15;996598141;5515996598141
55;15;996613379;5515996613379
55;15;996662335;5515996662335
55;19;996731071;5519996731071
55;15;996777202;5515996777202
55;15;996778343;5515996778343
55;15;996859108;5515996859108
55;15;996958042;5515996958042
55;15;996972627;5515996972627
55;15;996992859;5515996992859
55;15;997033758;5515997033758
55;15;997034468;5515997034468
55;15;997057589;5515997057589
55;15;997089899;5515997089899
55;15;997092962;5515997092962
55;15;997097937;5515997097937
55;15;997114542;5515997114542
55;15;997154277;5515997154277
55;15;997156547;5515997156547
55;15;997172822;5515997172822
55;14;997186885;5514997186885
55;15;997226352;5515997226352
55;15;997260478;5515997260478
55;15;997261399;5515997261399
55;15;997276304;5515997276304
55;15;997290775;5515997290775
55;15;997290775;5515997290775
55;15;997308094;5515997308094
55;15;997369369;5515997369369
55;15;997373132;5515997373132
55;15;997401499;5515997401499
55;12;997435792;5512997435792
55;15;997444976;5515997444976
55;15;997457878;5515997457878
55;15;997480478;5515997480478
55;15;997491266;5515997491266
55;15;997494263;5515997494263
55;15;997513556;5515997513556
55;15;997580772;5515997580772
55;15;997618567;5515997618567
55;15;997630158;5515997630158
55;15;997649907;5515997649907
55;14;997694353;5514997694353
55;15;997824187;5515997824187
55;15;997828375;5515997828375
55;15;997841620;5515997841620
55;15;997842260;5515997842260
55;15;997855169;5515997855169
55;15;997911463;5515997911463
55;15;997968504;5515997968504
55;15;997974187;5515997974187
55;15;998109299;5515998109299
55;51;998150467;5551998150467
55;15;998224942;5515998224942
55;15;998384629;5515998384629
55;15;998579401;5515998579401
